file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\red5\server\api\stream\IClientBroadcastStream.java,org.red5.server.api.stream.IClientBroadcastStream,getStatistics/0,false,39,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,true
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\red5\server\api\stream\IClientBroadcastStream.java,org.red5.server.api.stream.IClientBroadcastStream,"setParameters/1[java.util.Map<java.lang.String,java.lang.String>]",false,46,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,true
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\red5\server\api\stream\IClientBroadcastStream.java,org.red5.server.api.stream.IClientBroadcastStream,getParameters/0,false,54,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,true
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\red5\server\api\stream\IClientBroadcastStream.java,org.red5.server.api.stream.IClientBroadcastStream,startPublishing/0,false,34,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,true
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\webrtc\PeerConnectionFactory.java,org.webrtc.PeerConnectionFactory,"nativeCreateLocalMediaStream/2[long,java.lang.String]",false,607,0,1,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,266,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\webrtc\PeerConnectionFactory.java,org.webrtc.PeerConnectionFactory,"createVideoSource/2[boolean,boolean]",false,446,2,4,1,3,1,2,4,1,0,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,true
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\webrtc\PeerConnectionFactory.java,org.webrtc.PeerConnectionFactory,stopAecDump/0,false,486,1,2,0,2,1,2,4,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\webrtc\PeerConnectionFactory.java,org.webrtc.PeerConnectionFactory,shutdownInternalTracer/0,false,327,1,1,0,1,1,1,4,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,8,9,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\webrtc\PeerConnectionFactory.java,org.webrtc.PeerConnectionFactory,nativeStopInternalTracingCapture/0,false,595,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,266,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\webrtc\PeerConnectionFactory.java,org.webrtc.PeerConnectionFactory,nativeFindFieldTrialsFullName/1[java.lang.String],false,589,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,266,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Ant-Media-Server-master\src\main\java\org\webrtc\PeerConnectionFactory.java,org.webrtc.PeerConnectionFactory,nativeInitializeInternalTracer/0,false,590,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,266,0,false
