file,class,method,variable,usage
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\caiyun\CaiYunMainlyResult.java,wangdaye.com.geometricweather.weather.json.caiyun.CaiYunMainlyResult$ForecastDailyBean$SunRiseSetBean,getStatus/0,status,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\caiyun\CaiYunMainlyResult.java,wangdaye.com.geometricweather.weather.json.caiyun.CaiYunMainlyResult$ForecastDailyBean$SunRiseSetBean,setStatus/1[int],status,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\caiyun\CaiYunMainlyResult.java,wangdaye.com.geometricweather.weather.json.caiyun.CaiYunMainlyResult$ForecastDailyBean$SunRiseSetBean,getValue/0,value,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\caiyun\CaiYunMainlyResult.java,wangdaye.com.geometricweather.weather.json.caiyun.CaiYunMainlyResult$ForecastDailyBean$SunRiseSetBean,setValue/1[java.util.List<wangdaye.com.geometricweather.weather.json.caiyun.CaiYunMainlyResult.ForecastDailyBean.SunRiseSetBean.ValueBean>],value,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\daily\adapter\model\DailyPollen.java,wangdaye.com.geometricweather.daily.adapter.model.DailyPollen,setPollen/1[wangdaye.com.geometricweather.common.basic.models.weather.Pollen],pollen,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\daily\adapter\model\DailyPollen.java,wangdaye.com.geometricweather.daily.adapter.model.DailyPollen,DailyPollen/1[wangdaye.com.geometricweather.common.basic.models.weather.Pollen],pollen,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\daily\adapter\model\DailyPollen.java,wangdaye.com.geometricweather.daily.adapter.model.DailyPollen,getPollen/0,pollen,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\main\adapters\DetailsAdapter.java,wangdaye.com.geometricweather.main.adapters.DetailsAdapter$ViewHolder,"onBindView/2[boolean,wangdaye.com.geometricweather.main.adapters.DetailsAdapter.Index]",mContent,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\main\adapters\DetailsAdapter.java,wangdaye.com.geometricweather.main.adapters.DetailsAdapter$ViewHolder,"onBindView/2[boolean,wangdaye.com.geometricweather.main.adapters.DetailsAdapter.Index]",mIcon,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\main\adapters\DetailsAdapter.java,wangdaye.com.geometricweather.main.adapters.DetailsAdapter$ViewHolder,"onBindView/2[boolean,wangdaye.com.geometricweather.main.adapters.DetailsAdapter.Index]",mTitle,2
