file,class,method,variable,usage
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\caiyun\CaiYunMainlyResult.java,wangdaye.com.geometricweather.weather.json.caiyun.CaiYunMainlyResult$ForecastDailyBean$SunRiseSetBean,setStatus/1[int],status,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\weather\json\caiyun\CaiYunMainlyResult.java,wangdaye.com.geometricweather.weather.json.caiyun.CaiYunMainlyResult$ForecastDailyBean$SunRiseSetBean,setValue/1[java.util.List<wangdaye.com.geometricweather.weather.json.caiyun.CaiYunMainlyResult.ForecastDailyBean.SunRiseSetBean.ValueBean>],value,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\daily\adapter\model\DailyPollen.java,wangdaye.com.geometricweather.daily.adapter.model.DailyPollen,setPollen/1[wangdaye.com.geometricweather.common.basic.models.weather.Pollen],pollen,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\daily\adapter\model\DailyPollen.java,wangdaye.com.geometricweather.daily.adapter.model.DailyPollen,DailyPollen/1[wangdaye.com.geometricweather.common.basic.models.weather.Pollen],pollen,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\daily\adapter\model\DailyPollen.java,wangdaye.com.geometricweather.daily.adapter.model.DailyPollen,isCode/1[int],code,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\location\LocationHelper.java,wangdaye.com.geometricweather.location.LocationHelper$OnRequestLocationListener,requestLocationSuccess/1[wangdaye.com.geometricweather.location.Location],requestLocation,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\location\LocationHelper.java,wangdaye.com.geometricweather.location.LocationHelper$OnRequestLocationListener,requestLocationFailed/1[wangdaye.com.geometricweather.location.Location],requestLocation,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\utils\ResourceUtils.java,wangdaye.com.geometricweather.theme.resource.utils.ResourceUtils,"getResId/3[wangdaye.com.geometricweather.theme.resource.utils.Context,java.lang.String,java.lang.String]",resName,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\utils\ResourceUtils.java,wangdaye.com.geometricweather.theme.resource.utils.ResourceUtils,"getResId/3[wangdaye.com.geometricweather.theme.resource.utils.Context,java.lang.String,java.lang.String]",e,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\utils\ResourceUtils.java,wangdaye.com.geometricweather.theme.resource.utils.ResourceUtils,"getResId/3[wangdaye.com.geometricweather.theme.resource.utils.Context,java.lang.String,java.lang.String]",context,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\utils\ResourceUtils.java,wangdaye.com.geometricweather.theme.resource.utils.ResourceUtils,"getResId/3[wangdaye.com.geometricweather.theme.resource.utils.Context,java.lang.String,java.lang.String]",type,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\utils\ResourceUtils.java,wangdaye.com.geometricweather.theme.resource.utils.ResourceUtils,"getDrawableUri/3[java.lang.String,java.lang.String,java.lang.String]",resName,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\utils\ResourceUtils.java,wangdaye.com.geometricweather.theme.resource.utils.ResourceUtils,"getDrawableUri/3[java.lang.String,java.lang.String,java.lang.String]",resType,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\utils\ResourceUtils.java,wangdaye.com.geometricweather.theme.resource.utils.ResourceUtils,"getDrawableUri/3[java.lang.String,java.lang.String,java.lang.String]",pkgName,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\utils\ResourceUtils.java,wangdaye.com.geometricweather.theme.resource.utils.ResourceUtils,nonNull/1[int],resId,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\theme\resource\utils\ResourceUtils.java,wangdaye.com.geometricweather.theme.resource.utils.ResourceUtils,nonNull/1[T],obj,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\common\ui\widgets\horizontal\HorizontalViewPager2.java,wangdaye.com.geometricweather.common.ui.widgets.horizontal.HorizontalViewPager2$PageTransformer,"transformPage/2[wangdaye.com.geometricweather.common.ui.widgets.horizontal.View,float]",page,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\common\ui\widgets\horizontal\HorizontalViewPager2.java,wangdaye.com.geometricweather.common.ui.widgets.horizontal.HorizontalViewPager2$PageTransformer,"transformPage/2[wangdaye.com.geometricweather.common.ui.widgets.horizontal.View,float]",position,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\main\adapters\DetailsAdapter.java,wangdaye.com.geometricweather.main.adapters.DetailsAdapter$ViewHolder,"onBindView/2[boolean,wangdaye.com.geometricweather.main.adapters.DetailsAdapter.Index]",lightTheme,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\main\adapters\DetailsAdapter.java,wangdaye.com.geometricweather.main.adapters.DetailsAdapter$ViewHolder,"onBindView/2[boolean,wangdaye.com.geometricweather.main.adapters.DetailsAdapter.Index]",index,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\main\adapters\DetailsAdapter.java,wangdaye.com.geometricweather.main.adapters.DetailsAdapter$ViewHolder,ViewHolder/1[wangdaye.com.geometricweather.main.adapters.View],itemView,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\GeometricWeather-master\app\src\main\java\wangdaye\com\geometricweather\settings\activities\CardDisplayManageActivity.java,wangdaye.com.geometricweather.settings.activities.CardDisplayManageActivity,onCreate/1[wangdaye.com.geometricweather.settings.activities.Bundle],appBarLayout,1
