file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,class,3,5,2,3,28,1,0,1,287,0.8076923,0.05846154,0.08615384,26,0,26,0,0,0,26,0,0,0,2,0,0,1,1,0,0,0,0,82,14,0,1,1,1,1,5,8,0,3,1,0,0,0,48,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,class,3,5,2,3,27,1,0,2,294,0.88,0.01,0.01,25,0,25,0,0,0,25,0,0,0,1,0,0,0,1,0,0,0,0,73,14,0,1,1,1,1,4,2,0,2,1,0,0,0,36,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\AttributesInterface.java,org.pentaho.di.core.AttributesInterface,interface,0,0,0,0,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\connections\vfs\VFSConnectionProvider.java,org.pentaho.di.connections.vfs.VFSConnectionProvider,interface,8,11,3,8,5,1,0,3,10,0.0,0.0,0.0,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,1,1,1,0,0,0,0,51,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\KettleClientEnvironment.java,org.pentaho.di.core.KettleClientEnvironment,class,9,12,3,9,25,1,0,32,56,0.85,0.08888889,0.08888889,12,9,10,2,0,0,10,0,0,2,5,3,0,5,0,0,0,0,10,117,4,1,5,4,0,5,0,20,1,15,4,0,1,0,98,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\it\java\org\pentaho\di\core\row\RowMetaEsr7102IT.java,org.pentaho.di.core.row.RowMetaEsr7102IT$ThreadRunnngIndexOfValue,innerclass,2,2,0,2,6,2,0,4,0,0.0,1.0,1.0,2,0,2,0,0,0,2,0,0,0,3,0,0,3,0,0,0,0,0,31,0,1,2,1,0,3,4,5,2,4,3,0,0,0,20,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\DescriptionInterface.java,org.pentaho.di.core.DescriptionInterface,interface,0,0,0,0,2,1,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,class,5,7,2,5,35,1,0,13,29,0.67948717,0.44615385,0.5846154,26,0,26,0,0,0,26,0,0,0,3,1,0,3,0,0,1,0,3,122,18,1,3,3,1,10,7,21,2,7,2,1,0,0,68,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\ProgressNullMonitorListener.java,org.pentaho.di.core.ProgressNullMonitorListener,class,1,1,0,1,6,1,0,0,15,0.0,0.0,0.0,6,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,class,11,13,2,11,121,1,0,58,1561,0.92937845,0.04983165,0.06329966,59,3,55,4,0,0,55,0,3,1,6,3,2,4,0,0,3,0,2,442,49,22,24,5,2,21,39,90,3,77,4,1,0,0,284,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\connections\vfs\provider\ConnectionFileProvider.java,org.pentaho.di.connections.vfs.provider.ConnectionFileProvider,class,7,7,0,7,3,2,0,3,3,0.8888889,0.0,0.0,3,0,2,0,1,0,3,0,0,0,3,3,2,0,1,0,3,0,2,14,2,0,0,0,0,2,0,3,0,3,0,0,0,0,25,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\Const.java,org.pentaho.di.core.Const$ReleaseType,enum,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,4,0,0,22,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\connections\vfs\providers\other\OtherConnectionDetails.java,org.pentaho.di.connections.vfs.providers.other.OtherConnectionDetails,class,4,5,1,4,17,2,0,0,120,0.88888884,0.05882353,0.05882353,17,0,17,0,0,0,17,0,0,0,9,1,2,7,0,0,1,0,0,62,9,0,0,0,0,3,0,9,0,9,0,0,0,0,41,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\bowl\BaseBowl.java,org.pentaho.di.core.bowl.BaseBowl,class,3,3,0,3,3,1,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,16,2,0,2,0,0,0,0,3,0,3,2,0,0,1,14,1025,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\it\java\org\pentaho\di\core\row\RowMetaEsr7102IT.java,org.pentaho.di.core.row.RowMetaEsr7102IT,class,11,13,2,11,4,3,0,7,1,0.6666667,0.33333334,0.33333334,3,1,3,0,0,0,3,0,0,0,7,1,2,0,0,5,0,0,1,92,0,0,1,0,0,4,1,9,0,10,1,0,2,0,36,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBigNumber.java,org.pentaho.di.compatibility.ValueBigNumber,class,3,5,2,3,35,1,0,6,83,0.67948717,0.3723077,0.5846154,26,0,26,0,0,0,26,0,0,0,3,0,0,3,0,0,0,0,1,112,19,0,6,2,0,1,7,18,0,4,1,0,0,0,50,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueDate.java,org.pentaho.di.compatibility.ValueDate,class,4,6,2,4,31,1,0,6,151,0.7564103,0.2676923,0.36923078,26,0,26,0,0,0,26,0,0,0,3,1,2,1,0,0,1,0,1,101,18,0,4,1,0,2,5,14,0,5,1,0,0,0,56,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\connections\vfs\BaseVFSConnectionDetails.java,org.pentaho.di.connections.vfs.BaseVFSConnectionDetails,class,4,6,2,4,3,1,1,4,3,0.6666667,0.0,0.0,3,0,2,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,0,14,2,0,0,0,0,1,0,2,0,2,0,0,0,0,30,1025,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\Condition.java,org.pentaho.di.core.Condition,class,9,10,1,9,170,1,0,82,817,0.94220865,0.17469388,0.7036735,51,4,50,1,0,0,50,0,4,0,38,25,25,13,0,0,25,0,18,607,38,16,42,2,15,79,80,162,8,97,5,0,0,2,202,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\ExtensionDataInterface.java,org.pentaho.di.core.ExtensionDataInterface,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\cluster\HttpUtil.java,org.pentaho.di.cluster.HttpUtil,class,6,7,1,6,13,1,0,16,15,0.8333333,0.0,0.0,6,5,5,1,0,0,5,0,0,0,3,3,1,2,0,0,3,0,4,51,6,1,1,2,1,10,4,23,3,20,2,0,0,0,90,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\Counters.java,org.pentaho.di.core.Counters,class,2,3,1,2,7,1,0,4,0,0.5,0.6,0.6,6,1,5,1,0,0,5,0,0,0,2,1,0,2,0,0,0,0,0,26,3,0,1,0,0,0,0,4,0,2,1,0,0,0,19,1,0
