file,class,method,variable,usage
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,"setLength/2[int,int]",length,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,getBytes/0,bytes,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,getLength/0,length,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setLength/1[int],length,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,ValueBinary/0,bytes,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,ValueBinary/0,length,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,ValueBinary/1[byte[]],bytes,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,ValueBinary/1[byte[]],length,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setBytes/1[byte[]],bytes,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,getString/0,bytes,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,ValueSerializable/1[java.io.Serializable],serializable,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,getSerializable/0,serializable,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,getString/0,serializable,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\KettleClientEnvironment.java,org.pentaho.di.core.KettleClientEnvironment,init/1[java.util.List<org.pentaho.di.core.PluginTypeInterface>],initialized,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\KettleClientEnvironment.java,org.pentaho.di.core.KettleClientEnvironment,setClientID/1[java.lang.String],clientID,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\KettleClientEnvironment.java,org.pentaho.di.core.KettleClientEnvironment,setClient/1[org.pentaho.di.core.KettleClientEnvironment.ClientType],client,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\KettleClientEnvironment.java,org.pentaho.di.core.KettleClientEnvironment,reset/0,initialized,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\KettleClientEnvironment.java,org.pentaho.di.core.KettleClientEnvironment,isInitialized/0,initialized,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\KettleClientEnvironment.java,org.pentaho.di.core.KettleClientEnvironment,createDefaultKettleProperties/1[java.lang.String],PKG,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\KettleClientEnvironment.java,org.pentaho.di.core.KettleClientEnvironment,getClient/0,client,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\it\java\org\pentaho\di\core\row\RowMetaEsr7102IT.java,org.pentaho.di.core.row.RowMetaEsr7102IT$ThreadRunnngIndexOfValue,run/0,count,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\it\java\org\pentaho\di\core\row\RowMetaEsr7102IT.java,org.pentaho.di.core.row.RowMetaEsr7102IT$ThreadRunnngIndexOfValue,run/0,rowMeta,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\it\java\org\pentaho\di\core\row\RowMetaEsr7102IT.java,org.pentaho.di.core.row.RowMetaEsr7102IT$ThreadRunnngIndexOfValue,"ThreadRunnngIndexOfValue/3[org.pentaho.di.core.row.RowMetaInterface,int,org.pentaho.di.core.row.RowMetaEsr7102IT]",count,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\it\java\org\pentaho\di\core\row\RowMetaEsr7102IT.java,org.pentaho.di.core.row.RowMetaEsr7102IT$ThreadRunnngIndexOfValue,"ThreadRunnngIndexOfValue/3[org.pentaho.di.core.row.RowMetaInterface,int,org.pentaho.di.core.row.RowMetaEsr7102IT]",testInstance,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\it\java\org\pentaho\di\core\row\RowMetaEsr7102IT.java,org.pentaho.di.core.row.RowMetaEsr7102IT$ThreadRunnngIndexOfValue,"ThreadRunnngIndexOfValue/3[org.pentaho.di.core.row.RowMetaInterface,int,org.pentaho.di.core.row.RowMetaEsr7102IT]",rowMeta,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,getString/0,string,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,getBigNumber/0,string,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,setBoolean/1[boolean],string,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,getLength/0,length,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,setDate/1[java.util.Date],string,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,setDate/1[java.util.Date],LOCAL_SIMPLE_DATE_PARSER,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,setInteger/1[long],string,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,setBytes/1[byte[]],string,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,getBoolean/0,string,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,setString/1[java.lang.String],string,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,getDate/0,string,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,getDate/0,LOCAL_SIMPLE_DATE_PARSER,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,getSerializable/0,string,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,getBytes/0,string,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,setBigNumber/1[java.math.BigDecimal],string,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,setNumber/1[double],string,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,getInteger/0,string,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,ValueString/0,string,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,ValueString/0,length,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,getNumber/0,string,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,ValueString/1[java.lang.String],string,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,ValueString/1[java.lang.String],length,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,"setLength/2[int,int]",length,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueString.java,org.pentaho.di.compatibility.ValueString,setLength/1[int],length,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,removeValue/1[int],list,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,isIgnored/0,ignore,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,Row/0,ignore,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,remove/1[int],list,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,"getRow/2[byte[],org.pentaho.di.compatibility.Row]",PKG,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,"addValue/2[int,org.pentaho.di.compatibility.Value]",list,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,setIgnore/1[boolean],ignore,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,extractData/1[org.pentaho.di.compatibility.Row],PKG,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,getUsedValueListeners/0,usedValueListeners,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\Row.java,org.pentaho.di.compatibility.Row,add/1[java.lang.Object],list,1
