file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setSerializable/1[java.io.Serializable],false,137,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,"setLength/2[int,int]",false,93,0,0,0,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,getPrecision/0,false,58,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,getNumber/0,false,161,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setString/1[java.lang.String],false,133,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,clone/0,false,78,1,0,0,0,2,1,9,2,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,11,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,getBytes/0,false,48,1,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setInteger/1[long],false,121,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,getBoolean/0,false,146,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setDate/1[java.util.Date],false,117,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,getSerializable/0,false,104,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
