file,class,method,variable,usage
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setSerializable/1[java.io.Serializable],ser,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,"setLength/2[int,int]",precision,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,"setLength/2[int,int]",length,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setString/1[java.lang.String],string,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,clone/0,e,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,clone/0,retval,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setInteger/1[long],number,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setDate/1[java.util.Date],date,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setNumber/1[double],number,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setBoolean/1[boolean],bool,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setLength/1[int],length,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setBigNumber/1[java.math.BigDecimal],number,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,ValueBinary/1[byte[]],bytes,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setBytes/1[byte[]],b,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueBinary.java,org.pentaho.di.compatibility.ValueBinary,setPrecision/1[int],precision,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,"setLength/2[int,int]",precision,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,"setLength/2[int,int]",length,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,setLength/1[int],length,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,ValueSerializable/1[java.io.Serializable],ser,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,setBigNumber/1[java.math.BigDecimal],number,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,setPrecision/1[int],precision,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,setBytes/1[byte[]],b,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,clone/0,e,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,clone/0,retval,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,setString/1[java.lang.String],string,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,setSerializable/1[java.io.Serializable],ser,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,setDate/1[java.util.Date],date,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,setBoolean/1[boolean],bool,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,setInteger/1[long],number,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\compatibility\ValueSerializable.java,org.pentaho.di.compatibility.ValueSerializable,setNumber/1[double],number,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\AttributesInterface.java,org.pentaho.di.core.AttributesInterface,"setAttributesMap/1[java.util.Map<java.lang.String,java.util.Map<java.lang.String,java.lang.String>>]",attributesMap,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\AttributesInterface.java,org.pentaho.di.core.AttributesInterface,"setAttributes/2[java.lang.String,java.util.Map<java.lang.String,java.lang.String>]",groupName,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\AttributesInterface.java,org.pentaho.di.core.AttributesInterface,"setAttributes/2[java.lang.String,java.util.Map<java.lang.String,java.lang.String>]",attributes,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\AttributesInterface.java,org.pentaho.di.core.AttributesInterface,"setAttribute/3[java.lang.String,java.lang.String,java.lang.String]",groupName,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\AttributesInterface.java,org.pentaho.di.core.AttributesInterface,"setAttribute/3[java.lang.String,java.lang.String,java.lang.String]",value,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\AttributesInterface.java,org.pentaho.di.core.AttributesInterface,"setAttribute/3[java.lang.String,java.lang.String,java.lang.String]",key,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\AttributesInterface.java,org.pentaho.di.core.AttributesInterface,getAttributes/1[java.lang.String],groupName,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\pentaho-kettle-master\pentaho-kettle-master\core\src\main\java\org\pentaho\di\core\AttributesInterface.java,org.pentaho.di.core.AttributesInterface,"getAttribute/2[java.lang.String,java.lang.String]",groupName,0
