file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\db\jpa\JPASupport.java,play.db.jpa.JPASupport,class,2,2,0,2,0,4,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,class,43,48,5,43,58,9,0,104,66,0.9166667,0.0,0.0,12,2,5,0,6,1,14,0,0,0,1,1,0,0,0,1,1,0,26,466,9,3,13,5,0,51,19,67,9,48,5,0,2,0,139,1,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,class,3,4,1,3,10,4,0,21,0,0.125,0.75,0.75,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,1,0,4,61,5,2,0,0,0,8,0,7,1,5,1,0,1,0,49,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\data\validation\Validation.java,play.data.validation.Validation$Validator,innerclass,0,0,0,0,1,1,0,0,0,0.5,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,0,2,0,0,0,2,0,0,7,0,0,0,0,0,0,0,2,0,2,0,0,0,0,4,9,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\libs\ws\WSUrlFetch.java,play.libs.ws.WSUrlFetch$WSUrlfetchRequest,innerclass,9,9,0,9,56,2,0,50,66,0.0,0.0,0.0,12,0,8,3,1,0,9,0,0,0,0,0,0,0,0,0,0,0,9,210,10,4,14,10,2,35,9,26,4,23,6,0,0,0,111,9,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\data\parsing\ApacheMultipartParser.java,play.data.parsing.ApacheMultipartParser$SizeLimitExceededException,innerclass,1,1,0,1,1,5,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,0,1,1,0,1,0,0,0,0,35,10,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,class,7,8,1,7,10,1,0,11,0,0.45000002,0.7222222,1.0,10,1,9,1,0,0,9,0,0,0,2,1,0,2,0,0,1,0,10,57,1,0,0,0,0,29,0,20,1,20,0,0,0,0,68,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\samples-and-tests\just-test-cases\app\models\vendor\VenueVendor.java,models.vendor.VenueVendor,class,1,1,0,1,0,3,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,class,8,10,2,8,16,6,0,17,0,0.3703704,0.96428573,1.0,9,1,8,1,0,0,8,0,0,0,3,1,0,3,0,0,3,0,2,57,3,2,1,1,0,2,2,16,1,7,3,0,0,0,45,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\exceptions\CacheException.java,play.exceptions.CacheException,class,1,2,1,1,3,6,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,1,0,0,0,0,0,0,0,0,13,1,0
