file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"GroovyTemplate/2[java.lang.String,java.lang.String]",true,88,0,3,3,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,directLoad/1[byte[]],false,108,3,3,0,3,3,4,15,0,6,1,4,0,0,1,1,1,0,1,5,10,2,3,0,0,0,18,0,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",false,253,15,18,0,18,19,36,81,4,12,1,36,3,2,0,6,1,0,10,3,18,2,2,0,0,0,50,4,1,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,false,134,23,30,1,29,14,52,85,0,20,0,52,2,1,1,4,2,0,24,5,25,4,5,0,0,0,59,1,2,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"setUpBindingVariables/1[java.util.Map<java.lang.String,java.lang.Object>]",false,244,4,6,1,5,1,2,7,1,1,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,8,4,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,(initializer 2),false,84,1,2,0,2,1,1,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,8,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,cleanStackTrace/1[java.lang.Throwable],false,347,1,2,2,0,12,13,31,1,7,1,13,0,0,1,2,0,0,8,6,11,1,5,0,0,0,18,4,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,GroovyTemplate/1[java.lang.String],true,92,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"render/1[java.util.Map<java.lang.String,java.lang.Object>]",false,236,0,0,0,0,1,2,8,1,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,0,false
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"registerFormatter/2[java.lang.String,play.templates.SafeFormatter]",false,80,1,0,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,0,false
