file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\XMLWriter.java,org.jivesoftware.util.XMLWriter,class,23,29,6,23,286,2,0,134,2244,0.924219,0.23772791,0.5820477,93,0,57,0,36,0,93,0,1,0,21,4,0,16,5,0,4,0,2,1039,21,17,57,12,7,85,37,180,13,104,5,0,0,0,423,1,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\SmsService.java,org.jivesoftware.util.SmsService,class,12,13,1,12,19,3,0,13,0,0.7,0.16666667,0.16666667,5,2,4,1,0,0,4,0,0,1,4,3,0,4,0,0,2,0,3,238,4,0,7,1,1,64,57,7,1,6,2,0,3,0,206,1,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\PersistableMap.java,org.jivesoftware.util.PersistableMap,class,2,5,3,2,1,3,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,4,0,0,0,0,0,0,1,1,0,1,0,0,0,0,67,1025,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\event\GroupEventDispatcher.java,org.jivesoftware.openfire.event.GroupEventDispatcher$EventType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\lockout\LockOutEventDispatcher.java,org.jivesoftware.openfire.lockout.LockOutEventDispatcher,class,4,6,2,4,15,1,0,8,0,0.2,1.0,1.0,5,5,5,0,0,0,5,0,0,0,2,2,0,2,0,0,1,0,0,49,0,3,1,3,0,3,0,2,0,2,3,0,0,0,74,1,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\muc\spi\MultiUserChatServiceImpl.java,org.jivesoftware.openfire.muc.spi.MultiUserChatServiceImpl,class,64,75,11,64,505,5,0,391,5316,0.9561081,0.1213488,0.5358677,125,2,97,28,0,0,97,0,0,0,37,3,0,37,0,0,11,0,111,2036,129,27,174,41,14,387,53,304,34,233,6,0,4,7,933,1,145
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\handler\PresenceUpdateHandler.java,org.jivesoftware.openfire.handler.PresenceUpdateHandler,class,28,29,1,28,105,2,0,117,94,0.8315017,0.18095239,0.34285715,21,1,15,6,0,0,15,0,0,0,13,2,1,12,0,0,4,0,2,463,12,16,33,10,0,20,1,59,5,52,9,0,1,2,380,1,13
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\group\GroupManager.java,org.jivesoftware.openfire.group.GroupManager$Anonymous1,anonymous,2,2,0,2,3,1,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,-1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\util\Blowfish.java,org.jivesoftware.util.Blowfish,class,8,13,5,8,45,2,0,29,194,0.9047619,0.08888889,0.13333334,21,10,10,11,0,0,10,0,0,0,5,4,0,4,0,1,3,0,7,589,21,6,3,1,59,4,99,64,57,35,4,0,2,0,202,1,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\Openfire-main\xmppserver\src\main\java\org\jivesoftware\openfire\IQRouter.java,org.jivesoftware.openfire.IQRouter$TimeoutTask,innerclass,1,1,0,1,4,2,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,0,1,1,0,0,0,0,4,0,4,2,0,0,0,64,2,0
