file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\components\src\com\google\appinventor\components\runtime\Twitter.java,com.google.appinventor.components.runtime.Twitter,class,35,48,13,35,76,2,0,31,425,0.91533196,0.17825311,0.627451,38,0,34,4,0,0,34,0,0,0,23,7,0,23,0,0,16,0,18,532,25,0,36,2,0,225,16,43,29,34,3,13,0,0,352,17,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\components\src\com\google\appinventor\components\runtime\util\AppInvHTTPD.java,com.google.appinventor.components.runtime.util.AppInvHTTPD,class,29,32,3,29,52,2,0,65,48,0.8484848,0.6666667,1.0,12,1,4,8,0,0,4,0,0,0,11,6,0,11,0,0,5,0,32,315,25,4,10,7,18,162,15,74,20,61,4,1,0,0,211,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\server\tokenauth\TranslatorToken.java,com.google.appinventor.server.tokenauth.TranslatorToken$request,innerclass,22,22,0,22,131,7,0,59,911,0.92866087,0.08989899,0.17676768,47,15,42,3,2,0,45,0,3,0,17,9,7,10,0,0,9,0,25,928,57,1,35,1,60,4,94,113,28,52,4,1,1,0,140,25,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\components\src\com\google\appinventor\components\common\PropertyTypeConstants.java,com.google.appinventor.components.common.PropertyTypeConstants,class,0,0,0,0,1,1,0,0,0,0.0,-1.0,-1.0,1,0,0,1,0,0,0,0,0,0,62,62,62,0,0,0,62,0,0,66,0,0,0,0,0,63,0,62,0,62,0,0,0,0,215,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\components\src\com\google\appinventor\components\runtime\LineChartViewBase.java,com.google.appinventor.components.runtime.LineChartViewBase,class,9,13,4,9,1,3,0,5,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,32,1025,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\components\src\com\google\appinventor\components\runtime\util\HashDatabase.java,com.google.appinventor.components.runtime.util.HashDatabase,class,11,13,2,11,10,4,0,22,9,0.76190484,0.2857143,0.2857143,7,0,7,0,0,0,7,0,0,0,9,9,2,7,0,0,9,0,1,82,3,0,2,0,0,11,5,18,2,18,1,0,1,0,53,17,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\client\utils\Promise.java,com.google.appinventor.client.utils.Promise$AsyncCallbackProxy,innerclass,6,6,0,6,4,2,0,5,3,0.6666667,0.0,0.0,3,0,2,0,0,1,3,0,0,0,2,0,0,2,0,0,0,0,1,16,0,0,1,0,0,0,0,0,0,2,1,0,0,0,32,10,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\shared\rpc\ServerLayout.java,com.google.appinventor.shared.rpc.ServerLayout,class,1,2,1,1,2,1,0,1,1,0.9516129,0.0,0.0,2,2,2,0,0,0,2,0,0,0,31,31,31,0,0,0,31,0,1,39,2,0,0,0,0,32,0,31,3,31,0,0,0,0,102,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\client\actions\GenerateYailAction.java,com.google.appinventor.client.actions.GenerateYailAction,class,5,5,0,5,2,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,3,0,3,1,1,0,0,53,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\client\editor\youngandroid\actions\WirelessAction.java,com.google.appinventor.client.editor.youngandroid.actions.WirelessAction,class,1,1,0,1,2,1,0,4,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\components\tests\com\google\appinventor\components\runtime\WebTest.java,com.google.appinventor.components.runtime.WebTest,class,14,14,0,14,12,1,0,21,0,0.125,0.75,0.75,8,0,8,0,0,0,8,0,0,0,1,0,0,1,0,0,0,0,72,158,0,0,0,4,2,85,44,30,0,30,1,0,0,0,79,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\client\editor\simple\components\MockTextBox.java,com.google.appinventor.client.editor.simple.components.MockTextBox,class,2,3,1,2,1,7,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,6,0,0,0,0,0,1,0,1,0,1,0,0,0,0,22,17,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\client\explorer\commands\ShowProgressBarCommand.java,com.google.appinventor.client.explorer.commands.ShowProgressBarCommand,class,11,14,3,11,18,2,0,28,0,0.7083333,0.5,0.5,4,0,4,0,0,0,4,0,0,0,12,3,0,12,0,0,4,0,3,120,2,0,0,1,0,15,15,34,13,17,4,1,0,0,97,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\server\project\youngandroid\GalleryProtobuf.java,com.google.appinventor.server.project.youngandroid.GalleryProtobuf$contentOrBuilder,interface,3,3,0,3,10,1,0,0,45,0.0,0.0,0.0,10,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\server\ComponentServiceImpl.java,com.google.appinventor.server.ComponentServiceImpl$ExtensionDowngradeException,innerclass,0,0,0,0,1,3,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,6,0,0,0,0,0,1,1,1,1,1,0,0,0,0,61,9,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\components\src\com\google\zxing\client\android\result\ResultHandlerFactory.java,com.google.zxing.client.android.result.ResultHandlerFactory,class,7,9,2,7,3,1,0,2,3,0.0,NaN,NaN,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,11,2,0,0,0,0,0,0,1,0,1,0,0,0,0,20,17,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\client\explorer\commands\ShowBarcodeCommand.java,com.google.appinventor.client.explorer.commands.ShowBarcodeCommand$BarcodeDialogBox$Anonymous1,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,-1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\appengine\src\com\google\appinventor\client\explorer\commands\ShowBarcodeCommand.java,com.google.appinventor.client.explorer.commands.ShowBarcodeCommand$BarcodeDialogBox$Anonymous2,anonymous,2,2,0,2,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\components\src\com\google\appinventor\components\runtime\errors\UninitializedInstanceError.java,com.google.appinventor.components.runtime.errors.UninitializedInstanceError,class,2,3,1,2,0,5,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\blocklyeditor\tests\com\google\appinventor\blocklyeditor\CodeBlocksProcessHelper.java,com.google.appinventor.blocklyeditor.CodeBlocksProcessHelper,class,4,7,3,4,15,2,0,15,4,0.4,1.0,1.0,5,4,2,3,0,0,2,0,0,2,1,1,0,1,0,0,1,0,7,83,4,0,2,1,0,12,2,11,4,9,2,0,1,0,80,17,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\components\src\com\google\zxing\client\android\AppInvCaptureActivity.java,com.google.zxing.client.android.AppInvCaptureActivity,class,38,42,4,38,78,1,0,87,114,0.9107144,0.2747253,0.72527474,21,1,9,7,3,2,14,0,0,0,24,7,0,24,0,0,7,0,12,305,10,2,28,1,2,11,23,58,1,50,4,0,0,0,230,17,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\appinventor-sources-master\appinventor\components\src\com\google\zxing\client\android\FinishListener.java,com.google.zxing.client.android.FinishListener,class,5,6,1,5,4,1,0,2,4,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,0,15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,25,17,0
