file,class,method,variable,usage
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\sample\src\main\java\com\facebook\samples\litho\java\animations\docs\AlphaTransitionComponentSpec.java,com.facebook.samples.litho.java.animations.docs.AlphaTransitionComponentSpec,"onCreateLayout/2[com.facebook.samples.litho.java.animations.docs.ComponentContext,boolean]",SQUARE_KEY,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\sample\src\main\java\com\facebook\samples\litho\java\animations\docs\AlphaTransitionComponentSpec.java,com.facebook.samples.litho.java.animations.docs.AlphaTransitionComponentSpec,onCreateTransition/1[com.facebook.samples.litho.java.animations.docs.ComponentContext],SQUARE_KEY,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateInputsClassWithParamAndContext/0,mLayoutSpecModel,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateGetterWithTreeProp/0,mLayoutSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateGetterNoParam/0,mLayoutSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateInputsClassWithTreeProp/0,mLayoutSpecModel,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateInputsClassNoParam/0,mLayoutSpecModel,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateInputsClassWithParam/0,mLayoutSpecModel,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateGetterWithParamAndContext/0,mLayoutSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateInputsClassGenericParam/0,mLayoutSpecModel,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateGetterMultipleGenericsParamsAndContext/0,mLayoutSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateInputsClassMultipleGenericsParamsAndContext/0,mLayoutSpecModel,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateGetterWithParam/0,mLayoutSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateInputsClassWithContextParam/0,mLayoutSpecModel,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateGetterWithContextParam/0,mLayoutSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateInputsClassMultipleGenericsParams/0,mLayoutSpecModel,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,setUp/0,mCompilationRule,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,setUp/0,mLayoutSpecModel,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,setUp/0,mLayoutSpecModelFactory,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,setUp/0,mMessager,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateGetterGenericParam/0,mLayoutSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\CachedValueGeneratorTest.java,com.facebook.litho.specmodels.model.CachedValueGeneratorTest,testGenerateGetterMultipleGenericsParams/0,mLayoutSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,setup/0,mSpecModel,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testEventMethodsWithWrongReturnType/0,mRepresentedObject2,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testEventMethodsWithWrongReturnType/0,mRepresentedObject1,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testEventMethodsWithWrongReturnType/0,mSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithPrimitiveReturnType/0,mRepresentedObject2,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithPrimitiveReturnType/0,mRepresentedObject1,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithPrimitiveReturnType/0,mSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithSameName/0,mRepresentedObject2,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithSameName/0,mRepresentedObject1,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithSameName/0,mRepresentedObject4,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithSameName/0,mRepresentedObject3,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithSameName/0,mSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithWrongParams/0,mRepresentedObject2,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithWrongParams/0,mRepresentedObject1,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithWrongParams/0,mRepresentedObject3,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-it\src\test\java\com\facebook\litho\specmodels\model\TriggerValidationTest.java,com.facebook.litho.specmodels.model.TriggerValidationTest,testTriggerMethodsWithWrongParams/0,mSpecModel,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-widget\src\main\java\com\facebook\litho\widget\VerticalScrollEventsController.java,com.facebook.litho.widget.VerticalScrollEventsController,scrollTo/1[int],mScrollView,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-widget\src\main\java\com\facebook\litho\widget\VerticalScrollEventsController.java,com.facebook.litho.widget.VerticalScrollEventsController,setScrollView/1[com.facebook.litho.widget.LithoScrollView],mScrollView,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\litho-master\litho-widget\src\main\java\com\facebook\litho\widget\VerticalScrollEventsController.java,com.facebook.litho.widget.VerticalScrollEventsController,scrollToTop/0,mScrollView,2
