file,class,method,variable,usage
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"registerFormatter/2[java.lang.String,play.templates.SafeFormatter]",safeFormatters,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,"putAll/1[java.util.Map<? extends java.lang.Object,? extends java.lang.Object>]",keys,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,clear/0,keys,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,remove/1[java.lang.Object],keys,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,"put/2[java.lang.Object,java.lang.Object]",keys,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,keys/0,keys,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,keySet/0,keys,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,entrySet/0,keys,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\data\validation\Validation.java,play.data.validation.Validation$Validator,Validator/1[java.lang.annotation.Annotation],annotation,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,shouldParseAnXMLResponseBodyWithNamespaces/0,ORIGINAL_DOCUMENT,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,setUp/0,ORIGINAL_DOCUMENT,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,setUp/0,document,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,serializeShouldReturnWellFormedXml/0,ORIGINAL_DOCUMENT,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,serializeShouldReturnWellFormedXml/0,document,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,shouldFindNodesWithXpath/0,document,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,shouldNotParseAnXMLResponseBodyWithNamespaces/0,ORIGINAL_DOCUMENT,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,shouldNotFindNodesWithXPathAndNamespacesByDefault/0,document,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,shouldFindNodesWithXpathAndNamespacesFromStream/0,ORIGINAL_DOCUMENT,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,shouldFindNodesWithXpathAndNamespacesFromString/0,ORIGINAL_DOCUMENT,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\test-src\play\libs\XMLTest.java,play.libs.XMLTest,shouldParseAnXMLResponseBody/0,ORIGINAL_DOCUMENT,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,"apply/2[play.mvc.Http.Request,play.mvc.Http.Response]",response,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,"apply/2[play.mvc.Http.Request,play.mvc.Http.Response]",json,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,"RenderJson/2[java.lang.Object,com.google.gson.Gson]",response,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,"RenderJson/2[java.lang.Object,com.google.gson.Gson]",json,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,"RenderJson/2[java.lang.Object,com.google.gson.Gson]",GSON,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,RenderJson/1[java.lang.Object],response,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,RenderJson/1[java.lang.Object],json,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,RenderJson/1[java.lang.Object],GSON,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,"RenderJson/2[java.lang.Object,java.lang.reflect.Type]",response,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,"RenderJson/2[java.lang.Object,java.lang.reflect.Type]",json,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,"RenderJson/2[java.lang.Object,java.lang.reflect.Type]",GSON,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,RenderJson/1[java.lang.String],response,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,RenderJson/1[java.lang.String],json,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,"RenderJson/2[java.lang.Object,com.google.gson.JsonSerializer<?>[]]",response,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,"RenderJson/2[java.lang.Object,com.google.gson.JsonSerializer<?>[]]",json,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,getResponse/0,response,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\mvc\results\RenderJson.java,play.mvc.results.RenderJson,getJson/0,json,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\libs\OAuth2.java,play.libs.OAuth2$Response,"Response/3[java.lang.String,play.libs.OAuth2.Error,play.libs.WS.HttpResponse]",accessToken,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\libs\OAuth2.java,play.libs.OAuth2$Response,"Response/3[java.lang.String,play.libs.OAuth2.Error,play.libs.WS.HttpResponse]",error,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\libs\OAuth2.java,play.libs.OAuth2$Response,"Response/3[java.lang.String,play.libs.OAuth2.Error,play.libs.WS.HttpResponse]",httpResponse,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\libs\OAuth2.java,play.libs.OAuth2$Response,Response/1[play.libs.WS.HttpResponse],httpResponse,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\libs\OAuth2.java,play.libs.OAuth2$Response,Response/1[play.libs.WS.HttpResponse],accessToken,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\libs\OAuth2.java,play.libs.OAuth2$Response,Response/1[play.libs.WS.HttpResponse],error,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\libs\OAuth2.java,play.libs.OAuth2$Response,"error/2[play.libs.OAuth2.Error,play.libs.WS.HttpResponse]",error,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\libs\OAuth2.java,play.libs.OAuth2$Response,getAccessToken/1[play.libs.WS.HttpResponse],httpResponse,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\data\validation\InFutureCheck.java,play.data.validation.InFutureCheck,"isSatisfied/4[java.lang.Object,java.lang.Object,net.sf.oval.context.OValContext,net.sf.oval.Validator]",reference,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\data\validation\InFutureCheck.java,play.data.validation.InFutureCheck,configure/1[play.data.validation.InFuture],reference,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\data\validation\InFutureCheck.java,play.data.validation.InFutureCheck,configure/1[play.data.validation.InFuture],mes,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\data\validation\InFutureCheck.java,play.data.validation.InFutureCheck,createMessageVariables/0,reference,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\samples-and-tests\just-test-cases\app\models\threeLevels\ContactData.java,models.threeLevels.ContactData,toString/0,address,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\samples-and-tests\just-test-cases\app\models\threeLevels\ContactData.java,models.threeLevels.ContactData,toString/0,phone,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\test\Fixtures.java,play.test.Fixtures,deleteDatabase/0,idCache,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\test\Fixtures.java,play.test.Fixtures,deleteDatabase/0,dontDeleteTheseTables,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\test\Fixtures.java,play.test.Fixtures,"loadModels/2[boolean,java.lang.String]",keyPattern,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\test\Fixtures.java,play.test.Fixtures,"loadModels/2[boolean,java.lang.String]",idCache,3
