file,class,method,variable,usage
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"GroovyTemplate/2[java.lang.String,java.lang.String]",name,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"GroovyTemplate/2[java.lang.String,java.lang.String]",source,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,directLoad/1[byte[]],code,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,directLoad/1[byte[]],byteCode,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,directLoad/1[byte[]],c,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,directLoad/1[byte[]],tClassLoader,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,directLoad/1[byte[]],i,5
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,directLoad/1[byte[]],className,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,directLoad/1[byte[]],lines,5
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",e,9
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",start,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",binding,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",monitor,5
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",layoutR,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",args,6
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",currentResponse,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",applyLayouts,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",whatToFind,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",ex,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",layoutArgs,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",t,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",pos,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"internalRender/1[java.util.Map<java.lang.String,java.lang.Object>]",writer,7
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,exception,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,groovyClassesForThisTemplate,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,e,8
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,tClassLoader,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,f,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,line,5
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,start,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,errorMessage,5
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,syntaxException,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,message,7
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,sb,12
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,errorMsg,5
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,phasesF,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,output,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,compilationUnit,5
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,compilerConfiguration,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,gclass,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,compile/0,phases,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"setUpBindingVariables/1[java.util.Map<java.lang.String,java.lang.Object>]",args,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"setUpBindingVariables/1[java.util.Map<java.lang.String,java.lang.Object>]",binding,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,cleanStackTrace/1[java.lang.Throwable],template,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,cleanStackTrace/1[java.lang.Throwable],ext,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,cleanStackTrace/1[java.lang.Throwable],nse,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,cleanStackTrace/1[java.lang.Throwable],se,9
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,cleanStackTrace/1[java.lang.Throwable],charIndex,6
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,cleanStackTrace/1[java.lang.Throwable],e,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,cleanStackTrace/1[java.lang.Throwable],line,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,cleanStackTrace/1[java.lang.Throwable],tn,9
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,cleanStackTrace/1[java.lang.Throwable],cleanTrace,4
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,GroovyTemplate/1[java.lang.String],source,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"render/1[java.util.Map<java.lang.String,java.lang.Object>]",args,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"registerFormatter/2[java.lang.String,play.templates.SafeFormatter]",formatter,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,"registerFormatter/2[java.lang.String,play.templates.SafeFormatter]",format,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,setUpCompilerConfiguration/0,compilerConfiguration,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\templates\GroovyTemplate.java,play.templates.GroovyTemplate,isSimpleParam/1[java.lang.Class],type,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,"putAll/1[java.util.Map<? extends java.lang.Object,? extends java.lang.Object>]",map,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,remove/1[java.lang.Object],o,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,"put/2[java.lang.Object,java.lang.Object]",value,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,"put/2[java.lang.Object,java.lang.Object]",key,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,load/1[java.io.InputStream],line,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,load/1[java.io.InputStream],inputStream,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,load/1[java.io.InputStream],lines,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,load/1[java.io.InputStream],escapedLine,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,load/1[java.io.InputStream],out,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,entrySet/0,entrySet,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\utils\OrderSafeProperties.java,play.utils.OrderSafeProperties,entrySet/0,key,2
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\play1-master\framework\src\play\data\validation\Validation.java,play.data.validation.Validation$Validator,Validator/1[java.lang.annotation.Annotation],annotation,2
