file,class,method,variable,usage
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\PojavLauncher-3_openjdk\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,setFollowedView/1[net.kdt.pojavlaunch.customcontrols.buttons.ControlInterface],mCurrentlySelectedButton,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\PojavLauncher-3_openjdk\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,shouldBeVisible/0,mCurrentlySelectedButton,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\PojavLauncher-3_openjdk\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\customcontrols\handleview\CloneButton.java,net.kdt.pojavlaunch.customcontrols.handleview.CloneButton,onClick/0,mCurrentlySelectedButton,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\PojavLauncher-3_openjdk\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"querySearchDocuments/3[java.lang.String,java.lang.String,java.lang.String[]]",DEFAULT_DOCUMENT_PROJECTION,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\PojavLauncher-3_openjdk\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"queryChildDocuments/3[java.lang.String,java.lang.String[],java.lang.String]",DEFAULT_DOCUMENT_PROJECTION,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\PojavLauncher-3_openjdk\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"findDocumentPath/2[java.lang.String,java.lang.String]",BASE_DIR,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\PojavLauncher-3_openjdk\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,queryRoots/1[java.lang.String[]],BASE_DIR,3
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\PojavLauncher-3_openjdk\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,queryRoots/1[java.lang.String[]],ALL_MIME_TYPES,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\PojavLauncher-3_openjdk\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,queryRoots/1[java.lang.String[]],DEFAULT_ROOT_PROJECTION,1
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\PojavLauncher-3_openjdk\app_pojavlauncher\src\main\java\net\kdt\pojavlaunch\scoped\FolderProvider.java,net.kdt.pojavlaunch.scoped.FolderProvider,"queryDocument/2[java.lang.String,java.lang.String[]]",DEFAULT_DOCUMENT_PROJECTION,1
