file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\tests\testprocs\org\voltdb_testprocs\regressionsuites\failureprocs\NondeterministicRWProc.java,org.voltdb_testprocs.regressionsuites.failureprocs.NondeterministicRWProc,class,2,2,0,2,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,2,2,2,0,0,0,2,0,0,12,1,0,0,0,0,3,1,3,0,3,0,0,0,0,32,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\frontend\org\voltdb\compiler\DDLCompiler.java,org.voltdb.compiler.DDLCompiler$DDLStatement,innerclass,0,0,0,0,2,1,0,0,1,0.5,1.0,1.0,2,0,2,0,0,0,2,0,0,0,4,0,4,0,0,0,1,0,0,14,0,0,0,0,0,1,0,5,0,4,0,0,0,0,11,9,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\examples\json-sessions\client\jsonsessions\SessionBase.java,jsonsessions.SessionBase,class,0,4,4,0,2,1,3,1,1,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,0,0,0,2,0,0,0,10,0,0,0,0,0,1,0,3,0,2,0,0,0,0,10,1025,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\tests\test_apps\genqa\src\genqa\procedures\TablePartitionedExportCDCTopic.java,genqa.procedures.TablePartitionedExportCDCTopic,class,5,5,0,5,5,2,0,6,0,0.14285715,NaN,NaN,1,0,1,0,0,0,1,0,0,0,7,3,4,3,0,0,7,0,0,39,2,0,3,0,2,5,8,15,0,14,3,0,0,0,73,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\frontend\org\voltdb\utils\Collector.java,org.voltdb.utils.Collector,class,11,12,1,11,129,2,0,94,27,0.80213916,0.0,0.0,11,11,3,7,0,1,4,0,0,0,17,17,2,13,0,2,3,0,41,460,6,21,13,9,10,138,30,130,53,92,5,0,1,0,212,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\frontend\org\voltdb\importclient\kafka10\KafkaLoader.java,org.voltdb.importclient.kafka10.KafkaLoader,class,17,20,3,17,43,1,0,49,29,0.7979799,0.04761905,0.04761905,11,2,6,4,0,1,7,0,0,0,9,2,0,9,0,0,4,0,4,212,6,4,9,6,3,20,7,40,5,24,2,0,1,0,125,1,6
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\frontend\org\voltdb\plannodes\AbstractReceivePlanNode.java,org.voltdb.plannodes.AbstractReceivePlanNode,class,9,11,2,9,10,2,2,10,28,0.875,0.0,0.0,8,0,7,0,1,0,8,0,0,0,1,1,0,0,0,1,1,0,0,37,3,1,1,0,3,1,2,5,0,5,1,0,0,0,80,1025,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\tests\frontend\org\voltdb\TestExportSPIMigration.java,org.voltdb.TestExportSPIMigration$ClientConnectionHandler,innerclass,1,1,0,1,12,2,0,10,0,0.44444445,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,3,0,0,2,0,1,2,0,1,41,0,2,5,1,0,0,3,8,0,7,5,0,0,0,35,0,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\tests\frontend\org\voltdb\planner\debugUpdateProc.java,org.voltdb.planner.debugUpdateProc,class,3,3,0,3,1,2,0,0,0,1.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,6,1,0,0,0,0,8,0,1,1,1,0,0,0,0,31,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\hsqldb19b3\org\hsqldb_voltpatches\persist\CachedObject.java,org.hsqldb_voltpatches.persist.CachedObject,interface,3,19,16,3,17,1,0,0,136,1.0,0.0,0.0,17,0,0,0,0,17,17,0,0,0,1,0,0,0,0,1,0,0,0,20,0,0,0,0,0,0,0,1,0,1,0,0,0,0,42,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\tests\test_apps\voter\client\voter\PhoneCallGenerator.java,voter.PhoneCallGenerator$PhoneCall,innerclass,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,2,0,2,0,0,0,2,0,0,8,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,9,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\src\frontend\org\voltdb\client\Client2.java,org.voltdb.client.Client2,interface,7,22,15,7,26,1,0,0,325,0.0,0.0,0.0,26,0,0,0,0,26,26,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1,0
C:\Users\SOMEONEthere\OneDrive\Desktop\projects\voltdb-master\voltdb-master\tests\test_apps\txnid-selfcheck2\src\txnIdSelfCheck\TaskLoader.java,txnIdSelfCheck.TaskLoader,class,8,9,1,8,20,4,0,21,0,0.43589747,1.0,1.0,3,0,1,0,0,2,3,0,0,0,13,0,0,0,0,13,9,0,6,227,0,3,4,5,1,24,16,30,14,25,5,0,2,0,92,1,9
